глагол,частота
krstiti,75
suočavati,75
preoteti,75
upozoriti,74
posjedovati,74
gavati,74
jačiti,74
pljačkati,74
doseljavati,74
protestovati,74
izlučivati,74
sakupljati,73
preseći,73
djelovati,73
stignuti,73
inicirati,73
valjati,73
sačekati,73
starati,73
oteti,73
nagovoriti,73
potpadati,73
goniti,73
doti,73
opravdati,73
primećivati,72
napuniti,72
zaustavljati,72
dizajnirati,72
smetati,72
abdicirati,72
skrivati,72
prisiliti,72
slići,72
stabilizovati,72
sežati,71
pridobiti,71
ukidati,71
pristizati,71
poseta,71
uvećati,71
iskazivati,71
sediti,71
naslikati,71
generisati,70
saznavati,70
usavršavati,70
zapretiti,70
posredovati,70
pogađati,70
umešati,70
pogodovati,70
kvalifikovati,70
hrana,70
naručiti,70
izumeti,69
očistiti,69
trenirati,69
uzdići,69
usprotiviti,69
nastradati,69
izvestiti,69
porediti,68
obustaviti,68
zapaliti,68
sreti,68
oformiti,68
razbolesti,67
zaštita,67
raspad,67
sudelovati,67
nasleđivati,67
razdvojiti,67
isključiti,67
otežavati,67
oko,67
zadesiti,67
kandidovati,67
otkloniti,67
zaposeti,67
razvesti,67
ulagati,66
sukobljavati,66
pomisliti,66
projektiti,66
razmnožavati,66
isključivati,65
zamisati,65
prevazilaziti,65
uklapati,65
uslovljavati,65
započneti,65
cvetati,65
pozdraviti,65
hvatati,65
trgovati,65
iseliti,65
prebeći,65
orbiti,65
ometati,64
javati,64
poprimiti,64
jačati,64
uvećavati,64
reorganizovati,64
prodasti,64
osveti,64
gaviti,64
gostovati,64
zapisovati,63
preporučiti,63
vučiti,63
uzmeti,63
transportovati,63
kažnjavati,63
propustiti,63
poslušati,62
usmeravati,62
spoznati,62
osiguravati,62
izveštavati,62
progoniti,62
spoznavati,62
izglasati,62
poboljšavati,62
odupreti,62
žrtvovati,62
saopštavati,62
poslovati,62
ispasti,62
ohrabriti,62
plemeniti,62
priključivati,61
zadovoljati,61
fokusirati,61
zalaziti,61
priprema,61
vjerovati,61
nagraditi,61
skinuti,61
rušiti,60
proisteći,60
interpretirati,60
loviti,60
prilaziti,60
oduzimati,60
ublažiti,60
oštetiti,59
ukrštati,59
pojačavati,59
prevladavati,59
izjednačiti,59
pridavati,59
izvlačiti,59
citirati,59
sahraniti,59
udružiti,59
magistrirati,59
narasti,58
modifikovati,58
upozoravati,58
anektirati,58
usvajati,58
otpad,58
odazvati,58
sačiniti,58
prisvojiti,58
poklanjati,58
grupisati,58
kiša,58
interesovati,58
siti,58
ilustrovati,57
preseti,57
detektovati,57
rekonstruisati,57
dobivati,57
propisivati,57
slabiti,57
suzbiti,57
zaljubiti,57
ženiti,57
izračunavati,57
ignorisati,56
izmeriti,56
sateliti,56
sedeti,56
prerađivati,56
topiti,56
udaljiti,56
raspisati,56
nalagati,56
nazad,56
potiskovati,56
uneo,56
posveti,56
trčati,56
ušiti,56
strujati,55
izrasti,55
usavršiti,55
izgrađivati,55
zvučiti,55
opsluživati,55
admirati,55
umanjivati,55
bogumiti,55
narastati,55
presecati,55
okarakterisati,55
lansirati,55
izgovoriti,55
usporavati,55
odložiti,55
ugasiti,55
službovati,55
sazidati,55
prilagođavati,54
izjavljivati,54
onemogućavati,54
konzumirati,54
darivati,54
zastareti,54
eksplodirati,54
oporavljati,54
obaveštavati,54
popesti,54
vući,54
pojesti,54
izolovati,54
reflektovati,54
unistiti,54
ispuštati,54
hvaliti,54
operisati,53
razraditi,53
oslikavati,53
zasluživati,53
susresti,53
zamišljati,53
pomišljati,53
kazavati,53
razrešiti,53
testirati,53
razlažiti,53
spremiti,53
skretati,53
konvertovati,52
obožavati,52
obraditi,52
raniti,52
potpati,52
kazniti,52
prodiriti,52
sići,52
postupati,52
naložiti,52
potčiniti,52
najavljivati,52
odati,52
udaljavati,52
potrošiti,51
ocenjivati,51
veličati,51
izrastati,51
razići,51
rotirati,51
potopiti,51
angaživati,51
terati,51
rivati,51
maršati,51
upadati,51
razmenjivati,51
aviti,51
pregledati,51
prozvati,50
istupiti,50
gajiti,50
prinositi,50
