word,rank,neighbor,score
izdati,3.0,izdatu,0.8796364068984985
izdati,4.0,izdato,0.8747661709785461
izdati,5.0,izdatih,0.8718964457511902
izdati,6.0,izda,0.8637662529945374
izdati,7.0,izdat,0.8574245572090149
izdati,8.0,izdatog,0.8471404314041138
izdati,9.0,izdaje,0.8469730019569397
izdati,10.0,izdate,0.8466252088546753
uzdati,,,
ustajati,,,
prestajati,,,
pristajati,,,
nastajati,,,
začuti,,,
izići,,,
naići,1.0,naiđu,0.8958781957626343
naići,2.0,ići,0.8812044858932495
naići,3.0,naiđe,0.8720683455467224
naići,4.0,ćeklići,0.8658365607261658
naići,5.0,prići,0.8526957631111145
naići,6.0,zaobići,0.8502121567726135
naići,7.0,naišlo,0.8476240038871765
naići,8.0,šimići,0.8440276384353638
naići,9.0,dići,0.8423776030540466
naići,10.0,podići,0.8345918655395508
obići,1.0,zaobići,0.8988104462623596
obići,2.0,obiđe,0.8715482950210571
obići,3.0,ići,0.8529089689254761
obići,4.0,ćeklići,0.8479973673820496
obići,5.0,zaobilazeći,0.8389179110527039
obići,6.0,naići,0.8314127922058105
obići,7.0,prići,0.8171340823173523
obići,8.0,podići,0.8138903379440308
obići,9.0,dugmići,0.8122779130935669
obići,10.0,zaobiđe,0.8118934631347656
podići,1.0,podižući,0.9242931604385376
podići,2.0,podižu,0.9110662937164307
podići,3.0,podiže,0.9100870490074158
podići,4.0,podigoše,0.8934497833251953
podići,5.0,podignuti,0.8806047439575195
podići,6.0,podigle,0.8788974285125732
podići,7.0,podignu,0.8744887113571167
podići,8.0,podignute,0.8687037825584412
podići,9.0,podizali,0.8681806325912476
podići,10.0,podignuto,0.8642299771308899
saznati,1.0,znati,0.8927026987075806
saznati,2.0,saznali,0.8353118300437927
saznati,3.0,saznam,0.8339577317237854
saznati,4.0,zanati,0.8317331075668335
saznati,5.0,saznavši,0.8298041224479675
saznati,6.0,saznaj,0.8292071223258972
saznati,7.0,saznaju,0.8255899548530579
saznati,8.0,priznati,0.8243075609207153
saznati,9.0,saznajemo,0.8229530453681946
