глагол,частота
podudarati,38
juriti,38
rezultirati,38
istupiti,38
implementirati,38
valjati,38
umanjivati,38
pamti,38
izolovati,38
kažnjavati,38
oporavljati,38
utemeljiti,38
simulirati,38
poistoveći,38
udarati,38
površiti,38
sirati,38
on,37
orijentisati,37
grupisati,37
uvećati,37
protumačiti,37
upadati,37
kontaktirati,37
spoznati,37
kovasti,37
proisticati,37
utopiti,37
nagovarati,37
izglasati,37
novonastati,37
poručiti,37
sabirati,37
otploviti,37
modifikovati,37
kuvati,37
reorganizovati,37
izrasti,37
ujedinjivati,37
odgajati,37
oprobati,36
ugovoriti,36
liliti,36
naplaćivati,36
posredovati,36
zaticati,36
plemeniti,36
svađati,36
kršiti,36
srediti,36
nazad,36
prisvojiti,36
upustiti,36
razraditi,36
iznenaditi,36
obesiti,36
izrastati,36
pozoviti,36
razbovati,36
skovati,36
rastaviti,36
opažati,36
podsetiti,36
egzistirati,36
donirati,36
postradati,36
zahvaliti,36
nađati,36
dodirati,36
trositi,36
objedinjivati,36
mahati,36
sagledati,36
dopadati,36
isplaćivati,35
diktirati,35
integrisati,35
odmarati,35
stabilizovati,35
abdicirati,35
priređivati,35
sežati,35
daditi,35
krokoditi,35
pridodati,35
lažiti,35
uploviti,35
sprijateljiti,35
uposti,35
provlačiti,35
okarakterisati,35
letiti,35
susreti,35
doniti,35
nuti,35
opremiti,35
redukovati,35
pričvršćivati,35
sazrevati,35
uspijevati,35
smisliti,35
citirati,34
fositi,34
isporučiti,34
hladiti,34
potiskovati,34
prodirati,34
izviniti,34
usuditi,34
narastati,34
nazoviti,34
simbolisati,34
odmicati,34
ukrcati,34
sahraniti,34
opaziti,34
svisati,34
implicirati,34
potčiniti,34
interesivati,34
opravdavati,34
usavršiti,34
tući,34
lutati,34
odužiti,34
pozajmljivati,34
uvis,34
zanemarivati,33
razrešiti,33
nizati,33
locirati,33
pregledati,33
odvratiti,33
pokrstiti,33
varati,33
prisiljavati,33
nagoveštavati,33
isteći,33
osujetiti,33
preplitati,33
zaživeti,33
davasti,33
obezbjeđivati,33
proizaći,33
okrući,33
osloniti,33
snaći,33
vući,33
diferencirati,33
ugraditi,33
zaseliti,33
telenoveti,33
odstraniti,33
su,33
razoružati,32
pokvariti,32
ratifikovati,32
zapovedati,32
nacrtati,32
otpuštati,32
zadavati,32
pokritati,32
učlaniti,32
izginuti,32
tužiti,32
prijavljivati,32
instalirati,32
sahranjivati,32
unutrati,32
dopiriti,32
oživljavati,32
upitati,32
preklapati,32
silovati,32
zastareti,32
preseći,32
progutati,32
poljubiti,32
uneo,32
poslatiti,32
proslediti,32
odsvirati,32
asistirati,32
ispovedati,32
oglašavati,32
produžavati,32
prezentovati,32
vesti,32
obučiti,31
znameniti,31
distribuirati,31
izumrliti,31
akumulirati,31
favorizovati,31
udaviti,31
skraćivati,31
poremetiti,31
jurišati,31
izlivati,31
zamišljati,31
upijati,31
remizirati,31
nadoknaditi,31
prepuštati,31
plakati,31
zaprositi,30
uzvratiti,30
začeti,30
vezivati,30
paraziti,30
patentirati,30
spaljivati,30
konvertovati,30
viditi,30
odstupiti,30
prizvati,30
zaklinjati,30
informisati,30
silaziti,30
preobraziti,30
odvlačiti,30
unajmiti,30
džungeti,30
ukrati,30
odlažiti,30
raseliti,30
žena,30
zamoti,30
pripovedati,30
primena,30
ukidati,30
poleti,30
preraditi,30
uručiti,30
oživčavati,30
telenovesti,30
bojkotovati,29
premašiti,29
dopuniti,29
sudelovati,29
obolesti,29
dosezati,29
podesiti,29
pušiti,29
evakuisati,29
narušavati,29
otpad,29
dopreti,29
napominjati,29
kapitulirati,29
podležiti,29
razrešavati,29
zabrana,29
razočarati,29
manipulisati,29
trčeti,29
izmeriti,29
ubacivati,29
gađasti,29
izumrtiti,29
počiti,29
sjediniti,29
zbiti,29
pohvatiti,29
opusteti,29
dopunjavati,29
razvoditi,29
obračunati,28
reformisati,28
turnir,28
stanoviti,28
reflektovati,28
isporučivati,28
oduzati,28
maltretirati,28
anektirati,28
uveravati,28
stopasti,28
ublažavati,28
osveštati,28
propagirati,28
ubeđivati,28
ubacovati,28
pribaviti,28
obavesti,28
vileti,28
rukopoložiti,28
popremati,28
uznemiravati,28
plaviti,28
dostavljati,28
pogotovati,28
preteći,28
veseti,28
rasipati,28
dogovarati,28
atarati,28
polufinati,28
rangirati,28
spejs-šati,28
vredeti,27
asocirati,27
publikovati,27
pamtiti,27
kupatiti,27
šaliti,27
presreti,27
premašivati,27
razarati,27
sečiti,27
izmiriti,27
sačiniti,27
gospodariti,27
pastir,27
kriviti,27
fotografisati,27
izračunavati,27
brisati,27
podijeliti,27
zanemariti,27
uzvraćati,27
gravitirati,27
kiša,27
navasti,27
zovesti,27
dijeliti,27
rukovati,27
učestati,27
veriti,27
pomišljati,27
ljubiti,27
odolevati,27
objediniti,27
iskopavati,27
podlegati,27
narušiti,27
razvrstavati,27
proisteći,27
otudati,27
prebroditi,26
mobilisati,26
zeleniti,26
obračunavati,26
primoravati,26
paditi,26
okružiti,26
posvađati,26
dirigovati,26
unapređivati,26
prepoznuti,26
poželeti,26
iskorišćavati,26
obogaćivati,26
skiniti,26
zaklesti,26
presušiti,26
prožimati,26
svjedočiti,26
mjeriti,26
procjenjivati,26
setiti,26
penzionisati,26
skratiti,26
neutralisati,26
stopati,26
dopunjivati,26
ustaliti,26
prinuditi,26
puniti,26
tvoriti,26
prerađivati,26
popularizovati,26
kasniti,26
zaboravljati,26
osporiti,25
sazivati,25
sklanjati,25
okušati,25
uvoziti,25
htjeti,25
zameriti,25
konsolidovati,25
kraditi,25
saglasiti,25
potpati,25
ovati,25
omogutati,25
poveravati,25
popiti,25
podariti,25
gasti,25
uskladiti,25
opevati,25
montirati,25
htiti,25
dvati,25
plaći,25
obezbijediti,25
bisti,25
spriječiti,25
kolonizovati,25
izvaditi,25
doputovati,25
izricati,25
opstajati,25
spekulisati,25
potpasti,25
pozaditi,25
iseljavati,25
zavoditi,25
dogurati,25
izumrlati,25
posjećivati,25
voliti,25
veličati,24
suzbiti,24
obrtiti,24
vazati,24
izbaviti,24
zlostavljati,24
preimenovati,24
recitovati,24
roniti,24
iznajmiti,24
naljutiti,24
čestitati,24
doseziti,24
obrazložiti,24
sećati,24
posumnjati,24
istupati,24
dospiti,24
odlutati,24
ukraditi,24
propisati,24
rastvoriti,24
iseti,24
odlagati,24
dotaći,24
slabiti,24
krasiti,24
odrisati,24
prosleđivati,24
pobijediti,24
poništavati,24
štampati,24
osposobiti,24
navisiti,24
prestići,24
konfiskovati,24
dočarati,24
posjetiti,24
indukivati,23
rizikovati,23
zaobići,23
harasti,23
objastiti,23
pustošiti,23
prisiti,23
popneti,23
predstojati,23
nalikovati,23
izrastiti,23
popeti,23
šetati,23
kopazati,23
izvojevati,23
onesposobiti,23
prizivati,23
preslikavati,23
uliti,23
odabirati,23
ispratiti,23
nebiti,23
ažurirati,23
viseti,23
plačiti,23
požuriti,23
pretražovati,23
otpasti,23
proučiti,23
oponašati,23
buknuti,23
osvetljavati,23
otrovati,23
iskočiti,23
pobrđtiti,23
